39008 2 49992
b q
7600 2406
6588 7683
15688 36778
21302 27504
37147 13113
4518 9127
34093 33918
17695 21385
7320 14529
13648 12059
20280 33203
32605 25452
10265 17421
33710 7224
25108 38924
16394 29417
34549 35451
24497 18160
2142 33711
712 15402
33519 6706
6723 4218
33393 17938
31700 464
25389 17757
35490 9944
3841 24554
8014 2319
18896 36386
16349 29967
19935 31292
4250 11750
33506 19735
35318 16830
18824 15545
22904 23141
37433 20353
38423 23252
6872 4395
26916 27419
8755 25640
37260 19908
35038 1896
3441 13688
36417 13265
4502 24754
10925 28575
27134 35547
26933 16893
28178 24546
6533 1392
13713 28978
24888 8958
15312 24619
37119 38669
20057 38784
31347 1281
17304 22737
27221 21361
17751 22392
37635 12141
27958 10416
19371 30212
14536 18352
30246 30202
22108 33700
28720 32089
27990 25270
29050 28280
3458 23427
21084 7902
30275 32457
14118 25327
24254 32520
26652 4262
11956 887
4231 12415
9018 28884
3073 1187
8744 28399
20982 18159
31745 14440
32149 32169
7349 25455
33282 25296
2081 28711
10078 9495
4992 12417
9010 21028
30937 6029
5072 16732
29628 30509
10933 38135
19784 28146
24744 15595
5464 31185
32058 36073
38121 21852
3378 26882
18192 37546
4462 12862
20693 19967
28554 15649
11492 7183
24362 4954
23744 19593
5649 36437
26521 5460
34235 7644
9684 35836
14827 16556
31346 5163
19659 30887
31058 14039
1445 13986
30438 28355
3339 9897
1408 1701
34440 36648
8738 21380
22807 38511
7794 13574
21782 19407
2939 4627
37719 20108
2824 1202
20511 35355
28859 13143
15759 1347
2411 33063
18757 38676
10848 16343
17169 15685
35665 9576
32852 21708
25010 34967
20962 23234
18465 21328
35350 8533
33033 9399
24743 10413
11799 16799
30582 221
21471 12052
2738 9303
14144 6795
27923 13428
21160 5794
6399 38461
17405 10592
37330 33571
6645 23102
20400 7937
38188 738
35607 20122
5357 36849
25013 3281
16744 37171
28510 695
2101 33003
17326 29217
22831 5095
23433 25497
20141 24200
9896 38152
5707 15546
27009 18443
10075 2346
38294 4757
35420 2420
28590 21365
8849 13296
4962 16987
25011 1707
9825 15367
32040 36389
13116 8519
2658 11376
36501 36477
14519 38183
38331 1500
16046 18977
37810 33668
38411 5894
21754 9584
20417 18182
21420 33726
33231 18382
16491 13606
6643 33397
27932 32541
22051 29604
20495 26896
15193 10167
21756 2364
5660 15579
23850 34852
33705 33902
10147 17310
38186 3644
16760 33192
18255 14046
4839 28535
35619 5183
6568 4505
33185 8128
4379 6146
24343 32488
38356 18423
10719 26487
5578 35947
1669 31572
15462 26687
24567 25159
30619 35446
1509 35686
23016 18996
33848 18353
12603 11998
19252 18057
10477 16218
13785 20565
2352 20018
13155 21783
11679 26433
11500 26379
35316 37795
9545 7368
25265 25471
27409 7652
3548 4317
25458 10072
38956 6415
1111 26396
13985 11448
38402 33533
31890 33174
36063 11778
15727 38016
19147 29494
21334 1529
25579 29415
34922 3612
3474 11867
24417 4647
38288 19000
2959 18548
9932 25699
31941 11691
11037 19717
3860 38549
16252 26072
37012 775
14925 23475
26648 29904
12441 11850
38935 11354
21232 1959
12478 27169
943 28961
6975 7802
18350 1341
2399 21049
56 33909
21597 30033
21442 33079
15126 22218
33996 35383
33338 1715
2626 35505
11123 15846
9542 1755
13763 4035
28796 26535
10353 21720
34580 35688
35472 25097
11584 5277
21811 33329
33572 8726
13614 7567
36468 16292
9182 29006
6934 24688
11807 32971
9529 19507
4182 29025
12252 22121
20282 21036
12152 20631
14679 13408
6575 18486
26923 31542
4864 1270
32144 21608
13445 10536
25817 26521
17535 7359
14637 18891
24517 38555
26612 18107
37875 22432
29967 33913
29720 25376
15092 5106
22858 37241
25618 13251
770 2990
35345 24019
104 16272
24441 2421
38481 11082
15594 5646
37865 14126
27202 35827
30911 27956
16854 17580
25675 16801
383 29083
19554 18826
20914 7122
21261 14006
2429 23067
10938 24497
15811 4365
36288 5603
22372 28658
38169 29773
17451 25075
10460 29584
8887 26700
5838 36630
26853 2590
32623 34117
2261 12599
36240 19546
9454 12002
4793 33685
36098 24517
34005 21660
